"create_time","id","travel_date","departure_city","departure_city_name","departure_time","arrival_city","arrival_city_name","arrival_time","duration","stopover","stopover_duration","min_price","min_price_tax","min_price_discount","min_business_price","min_business_price_tax","departure_airport","departure_airport_name","departure_terminal","arrival_airport","arrival_airport_name","arrival_terminal","seat_left","default_cabin","segment_list","economy_policies","business_policies","flights_info","data_source","task_id"
"16/2/2025 21:02:10.591","1891110825480507393","26/2/2025 00:00:00","HKG","香港","2025-02-26 12:30:00","IST","伊斯坦堡","2025-02-27 08:10:00","1480","上海,","145,","3149","1677",,,,"HKG","","T1","IST","",,"9","B,Z",,,,"香港:FM3016,上海:MU703,","trip",
"16/2/2025 21:02:10.591","1891110825480507394","26/2/2025 00:00:00","HKG","香港","2025-02-26 17:30:00","IST","伊斯坦堡","2025-02-27 08:10:00","1180","上海,","165,","4352","1731",,,,"HKG","","T1","IST","",,"9","Q,Z",,,,"香港:CX364,上海:MU703,","trip",
"16/2/2025 21:02:10.591","1891110825480507395","26/2/2025 00:00:00","HKG","香港","2025-02-26 13:50:00","IST","伊斯坦堡","2025-02-27 06:20:00","1290","北京,","210,","3690","1961",,,,"HKG","","T1","IST","",,"9","N,V",,,,"香港:CX392,北京:TK089,","trip",
"16/2/2025 21:02:10.592","1891110825480507396","26/2/2025 00:00:00","HKG","香港","2025-02-26 12:00:00","IST","伊斯坦堡","2025-02-27 06:20:00","1400","北京,","210,","3690","1961",,,,"HKG","","T1","IST","",,"9","N,V",,,,"香港:CX332,北京:TK089,","trip",
"16/2/2025 21:02:10.592","1891110825480507397","26/2/2025 00:00:00","HKG","香港","2025-02-26 11:55:00","IST","伊斯坦堡","2025-02-27 05:30:00","1355","莫斯科,","655,","4742","437",,,,"HKG","","T1","IST","",,"2","N,N",,,,"香港:SU213,莫斯科:SU2134,","trip",
"16/2/2025 21:02:10.592","1891110825480507398","26/2/2025 00:00:00","HKG","香港","2025-02-26 09:35:00","IST","伊斯坦堡","2025-02-27 08:10:00","1655","上海,","135,","3166","1669",,,,"HKG","","T1","IST","",,"9","B,Z",,,,"香港:FM3028,上海:MU703,","trip",
"16/2/2025 21:02:10.592","1891110825480507399","26/2/2025 00:00:00","HKG","香港","2025-02-26 07:40:00","IST","伊斯坦堡","2025-02-27 08:10:00","1770","上海,","165,","3171","1669",,,,"HKG","","T1","IST","",,"9","B,Z",,,,"香港:FM3030,上海:MU703,","trip",
"16/2/2025 21:02:10.593","1891110825488896002","26/2/2025 00:00:00","HKG","香港","2025-02-26 09:35:00","IST","伊斯坦堡","2025-02-27 06:20:00","1545","北京,","200,","3312","1970",,,,"HKG","","T1","IST","",,"9","O,V",,,,"香港:HX308,北京:TK089,","trip",
"16/2/2025 21:02:10.593","1891110825488896003","26/2/2025 00:00:00","HKG","香港","2025-02-26 13:00:00","IST","伊斯坦堡","2025-02-27 06:20:00","1340","北京,","190,","3723","1964",,,,"HKG","","T1","IST","",,"9","P,V",,,,"香港:CA102,北京:TK089,","trip",
"16/2/2025 21:02:10.594","1891110825488896004","26/2/2025 00:00:00","HKG","香港","2025-02-26 23:45:00","IST","伊斯坦堡","2025-02-27 18:05:00","1400","法蘭克福,","825,","7265","617",,,,"HKG","","T1","IST","",,"2","Q,Q",,,,"香港:LH797,法蘭克福:LH1298,","trip",
"16/2/2025 21:02:10.594","1891110825493090305","26/2/2025 00:00:00","HKG","香港","2025-02-26 21:00:00","IST","伊斯坦堡","2025-02-27 18:30:00","1590","杜拜,","715,","9662","1678",,,,"HKG","","T1","IST","",,"3","Y,Y",,,,"香港:EK385,杜拜:EK121,","trip",
"16/2/2025 21:02:10.594","1891110825493090306","26/2/2025 00:00:00","HKG","香港","2025-02-26 09:00:00","IST","伊斯坦堡","2025-02-27 06:20:00","1580","北京,","210,","3690","1961",,,,"HKG","","T1","IST","",,"9","N,V",,,,"香港:CX386,北京:TK089,","trip",
"16/2/2025 21:02:10.595","1891110825497284609","26/2/2025 00:00:00","HKG","香港","2025-02-26 22:50:00","IST","伊斯坦堡","2025-02-27 21:20:00","1650","亞的斯亞貝巴,","755,","7356","1225",,,,"HKG","","T1","IST","",,"2","L,L",,,,"香港:ET609,亞的斯亞貝巴:ET722,","trip",
"16/2/2025 21:02:10.595","1891110825497284610","26/2/2025 00:00:00","HKG","香港","2025-02-26 00:50:00","IST","伊斯坦堡","2025-02-26 16:55:00","1265","首爾,","210,","7084","978",,,,"HKG","","T1","IST","",,"4","V,E",,,,"香港:OZ746,首爾:OZ6933,","trip",
